Year,Team,Player,Result
2013,SK Telecom T1,Impact,Champion
2013,SK Telecom T1,bengi,Champion
2013,SK Telecom T1,Faker,Champion
2013,SK Telecom T1,Piglet,Champion
2013,SK Telecom T1,PoohManDu,Champion
2013,Royal Club,GoDlike,Runner-up
2013,Royal Club,Lucky,Runner-up
2013,Royal Club,Wh1t3zZ,Runner-up
2013,Royal Club,Uzi,Runner-up
2013,Royal Club,Tabe,Runner-up
2013,NaJin Black Sword,Expession,Semifinals
2013,NaJin Black Sword,watch,Semifinals
2013,NaJin Black Sword,Nagne,Semifinals
2013,NaJin Black Sword,PraY,Semifinals
2013,NaJin Black Sword,Cain,Semifinals
2013,Fnatic,sOAZ,Semifinals
2013,Fnatic,Cyanide,Semifinals
2013,Fnatic,xPeke,Semifinals
2013,Fnatic,puszu,Semifinals
2013,Fnatic,YellOwStaR,Semifinals
2013,Gamania Bears,Steak,Quarterfinals
2013,Gamania Bears,Winds,Quarterfinals
2013,Gamania Bears,Maple,Quarterfinals
2013,Gamania Bears,NL,Quarterfinals
2013,Gamania Bears,SwordArt,Quarterfinals
2013,Oh My God,Gogoing,Quarterfinals
2013,Oh My God,LoveLin,Quarterfinals
2013,Oh My God,Cool,Quarterfinals
2013,Oh My God,san,Quarterfinals
2013,Oh My God,bigpomelo,Quarterfinals
2013,Cloud9,Balls,Quarterfinals
2013,Cloud9,Meteos,Quarterfinals
2013,Cloud9,Hai,Quarterfinals
2013,Cloud9,Sneaky,Quarterfinals
2013,Cloud9,LemonNation,Quarterfinals
2013,Gambit Gaming,Darien,Quarterfinals
2013,Gambit Gaming,Diamondprox,Quarterfinals
2013,Gambit Gaming,Alex Ich,Quarterfinals
2013,Gambit Gaming,Genja,Quarterfinals
2013,Gambit Gaming,Voidle,Quarterfinals
2013,Team SoloMid,Dyrus,Group Stage
2013,Team SoloMid,TheOddOne,Group Stage
2013,Team SoloMid,Reginald,Group Stage
2013,Team SoloMid,WildTurtle,Group Stage
2013,Team SoloMid,Xpecial,Group Stage
2013,Team Vulcun,Sycho Sid,Group Stage
2013,Team Vulcun,Xmithie,Group Stage
2013,Team Vulcun,mancloud,Group Stage
2013,Team Vulcun,Zuna,Group Stage
2013,Team Vulcun,BloodWater,Group Stage
2013,Samsung Ozone,Looper,Group Stage
2013,Samsung Ozone,DanDy,Group Stage
2013,Samsung Ozone,dade,Group Stage
2013,Samsung Ozone,imp,Group Stage
2013,Samsung Ozone,Mata,Group Stage
2013,Lemondogs,Zorozero,Group Stage
2013,Lemondogs,dexter1,Group Stage
2013,Lemondogs,Nukeduck,Group Stage
2013,Lemondogs,Tabzz,Group Stage
2013,Lemondogs,Mithy,Group Stage
2013,Mineski,Snoy,Group Stage
2013,Mineski,Kaigu,Group Stage
2013,Mineski,Yume,Group Stage
2013,Mineski,Exo,Group Stage
2013,Mineski,Tgee,Group Stage
2013,GamingGear.eu,NBs,Group Stage
2013,GamingGear.eu,Alunir,Group Stage
2013,GamingGear.eu,Mazzerin,Group Stage
2013,GamingGear.eu,DeadlyBrother,Group Stage
2013,GamingGear.eu,Inspirro,Group Stage
2014,Samsung White,Looper,Champion
2014,Samsung White,Dandy,Champion
2014,Samsung White,PawN,Champion
2014,Samsung White,imp,Champion
2014,Samsung White,Mata,Champion
2014,Star Horn Royal Club,Cola,Runner-up
2014,Star Horn Royal Club,inSec,Runner-up
2014,Star Horn Royal Club,corn,Runner-up
2014,Star Horn Royal Club,Uzi,Runner-up
2014,Star Horn Royal Club,Zero,Runner-up
2014,Samsung Blue,Acorn,Semifinals
2014,Samsung Blue,Spirit,Semifinals
2014,Samsung Blue,Dade,Semifinals
2014,Samsung Blue,Deft,Semifinals
2014,Samsung Blue,Heart,Semifinals
2014,Oh My God,Gogoing,Semifinals
2014,Oh My God,Loveling,Semifinals
2014,Oh My God,cool,Semifinals
2014,Oh My God,san,Semifinals
2014,Oh My God,Cloud,Semifinals
2014,Team SoloMid,Dyrus,Quarterfinals
2014,Team SoloMid,Amazing,Quarterfinals
2014,Team SoloMid,Bjergsen,Quarterfinals
2014,Team SoloMid,WildTurtle,Quarterfinals
2014,Team SoloMid,Lustboy,Quarterfinals
2014,Cloud9,Balls,Quarterfinals
2014,Cloud9,Meteos,Quarterfinals
2014,Cloud9,Hai,Quarterfinals
2014,Cloud9,Sneaky,Quarterfinals
2014,Cloud9,LemonNation,Quarterfinals
2014,EDward Gaming,Koro1,Quarterfinals
2014,EDward Gaming,ClearLove,Quarterfinals
2014,EDward Gaming,U,Quarterfinals
2014,EDward Gaming,NaMei,Quarterfinals
2014,EDward Gaming,Fzzf,Quarterfinals
2014,NaJin White Shield,Save,Quarterfinals
2014,NaJin White Shield,Watch,Quarterfinals
2014,NaJin White Shield,Ggoong,Quarterfinals
2014,NaJin White Shield,Zefa,Quarterfinals
2014,NaJin White Shield,GorillA,Quarterfinals
2014,ahq e-Sports Club,Prydz,Group Stage
2014,ahq e-Sports Club,NAZ,Group Stage
2014,ahq e-Sports Club,westdoor,Group Stage
2014,ahq e-Sports Club,GarnetDevil,Group Stage
